Player Name,Runs,Balls,1s,2s,3s,Fours,Sixes,Dots,Strike Rate,Status,Bowler Out,Fielder Out
Virat Kohli,1,2,1,0,0,0,0,0,50.00,Bowled,Dale Steyn,
Rajat Patidar,18,11,1,1,1,0,2,5,163.64,Bowled,T Natarajan,
Faf du Plessis,2,5,2,0,0,0,0,2,40.00,Caught,Dale Steyn,Pat Cummins
Glenn Maxwell,0,1,0,0,0,0,0,0,0.00,LBW,Dale Steyn,
Dinesh Karthik,5,6,1,0,0,1,0,3,83.33,Caught,Dale Steyn,Bhuvneshwar Kumar
Cameron Green,9,7,4,1,1,0,0,0,128.57,Bowled,Abhishek Sharma,
Mahipal Lomror,1,3,1,0,0,0,0,1,33.33,Caught,T Natarajan,David Warner
Karn Sharma,26,20,6,1,0,3,1,8,130.00,Caught,Pat Cummins,Abhishek Sharma
Mohammed Siraj,10,9,3,2,1,0,0,2,111.11,Bowled,Bhuvneshwar Kumar,
Lockie Ferguson,9,5,2,2,1,0,0,0,180.00,not out,,
Yash Dayal,0,1,0,0,0,0,0,0,0.00,Bowled,Pat Cummins,
