Player Name,Runs,Balls,1s,2s,3s,Fours,Sixes,Dots,Strike Rate,Status,Bowler Out,Fielder Out
Dale Steyn,32,32,5,2,1,2,2,20,100.0,Run Out,K Sharma,Rohith Sharma
Manish Reddy,10,13,1,0,1,0,1,10,76.9,Caught,K Sharma,Chahar
Eshan Malinga,26,20,4,5,0,3,0,8,130.0,Caught,Chahar,Rickelton
B Kumar,16,9,1,1,1,1,1,4,177.8,Bowled,K Sharma,
T Natarajan,0,1,0,0,0,0,0,1,0.0,Caught,K Sharma,Pollard
Pat Cummins,12,9,1,2,1,1,0,4,133.3,Caught,K Sharma,SKY
Ben Cutting,41,21,5,4,4,1,2,5,195.2,not out,,
Nitish Reddy,4,5,2,1,0,0,0,2,80.0,Bowled,Chahar,
Aniketh Verma,2,3,2,0,0,0,0,1,66.7,not out,,
Heinrich Klaasen,0,0,0,0,0,0,0,0,0.0,not out,,
Abhinav Manohar,0,0,0,0,0,0,0,0,0.0,not out,,
