id,created_at,match_id,trace_id,source,stage,pid,monotonic_seconds,payload_json,payload_bytes,payload_truncated,metrics_json
1,2026-09-12T14:38:23.886112+00:00,75e8ef06-2e8a-49e8-96bc-e7fea608915f,"",browser,socket_connect,1995301,18653600.8023668,"{""client_time"": ""2026-09-12T14:38:23.561Z"", ""monotonic_ms"": 1214.8999999985099, ""visibility"": ""visible"", ""online"": true}",120,0,"{""process_cpu_percent"": 0.0, ""system_cpu_percent"": 0.0, ""process_cpu_times"": {""user"": 6.86, ""system"": 1.54, ""children_user"": 0.0, ""children_system"": 0.0, ""iowait"": 0.0}, ""process_memory"": {""rss"": 130420736, ""vms"": 310550528, ""shared"": 27283456, ""text"": 2707456, ""lib"": 0, ""data"": 154841088, ""dirty"": 0}, ""process_rss_bytes"": 130420736, ""system_memory"": {""total"": 998465536, ""available"": 423460864, ""percent"": 57.6, ""used"": 575004672, ""free"": 88813568, ""active"": 228876288, ""inactive"": 510156800, ""buffers"": 7950336, ""cached"": 482004992, ""shared"": 1540096, ""slab"": 103583744}, ""swap"": {""total"": 1073737728, ""used"": 663461888, ""free"": 410275840, ""percent"": 61.8, ""sin"": 23367168000, ""sout"": 40385671168}, ""load_average"": [0.0, 0.07, 0.2], ""threads"": 2}"
2,2026-09-12T14:38:25.848386+00:00,75e8ef06-2e8a-49e8-96bc-e7fea608915f,adc1cd3c-43a6-4272-9e7e-c5f43bb57ebb,server,ws_received,1995301,18653602.7646226,null,4,0,"{""process_cpu_percent"": 0.0, ""system_cpu_percent"": 1.5, ""process_cpu_times"": {""user"": 6.87, ""system"": 1.55, ""children_user"": 0.0, ""children_system"": 0.0, ""iowait"": 0.0}, ""process_memory"": {""rss"": 130420736, ""vms"": 310550528, ""shared"": 27283456, ""text"": 2707456, ""lib"": 0, ""data"": 154841088, ""dirty"": 0}, ""process_rss_bytes"": 130420736, ""system_memory"": {""total"": 998465536, ""available"": 423526400, ""percent"": 57.6, ""used"": 574939136, ""free"": 88813568, ""active"": 228941824, ""inactive"": 510394368, ""buffers"": 7966720, ""cached"": 482045952, ""shared"": 1540096, ""slab"": 103583744}, ""swap"": {""total"": 1073737728, ""used"": 663461888, ""free"": 410275840, ""percent"": 61.8, ""sin"": 23367176192, ""sout"": 40385671168}, ""load_average"": [0.0, 0.07, 0.2], ""threads"": 2}"
3,2026-09-12T14:38:25.863520+00:00,75e8ef06-2e8a-49e8-96bc-e7fea608915f,adc1cd3c-43a6-4272-9e7e-c5f43bb57ebb,server,engine_start,1995301,18653602.7797646,"{""over"": 0, ""ball"": 0}",22,0,"{""process_cpu_percent"": 0.0, ""system_cpu_percent"": 33.3, ""process_cpu_times"": {""user"": 6.87, ""system"": 1.56, ""children_user"": 0.0, ""children_system"": 0.0, ""iowait"": 0.0}, ""process_memory"": {""rss"": 130420736, ""vms"": 310550528, ""shared"": 27283456, ""text"": 2707456, ""lib"": 0, ""data"": 154841088, ""dirty"": 0}, ""process_rss_bytes"": 130420736, ""system_memory"": {""total"": 998465536, ""available"": 423268352, ""percent"": 57.6, ""used"": 575197184, ""free"": 88555520, ""active"": 228941824, ""inactive"": 510398464, ""buffers"": 7974912, ""cached"": 482111488, ""shared"": 1540096, ""slab"": 103583744}, ""swap"": {""total"": 1073737728, ""used"": 663461888, ""free"": 410275840, ""percent"": 61.8, ""sin"": 23367176192, ""sout"": 40385671168}, ""load_average"": [0.0, 0.07, 0.2], ""threads"": 2}"
4,2026-09-12T14:38:25.884562+00:00,75e8ef06-2e8a-49e8-96bc-e7fea608915f,adc1cd3c-43a6-4272-9e7e-c5f43bb57ebb,server,engine_result,1995301,18653602.8008032,"{""match_over"": false, ""score"": 1, ""wickets"": 0, ""over"": 0, ""ball"": 1, ""commentary"": ""<br><strong>1st INNINGS \u2014 IND</strong><br><br>Shubman Gill and Rohit Sharma will open the attack for IND. Rohit Sharma is on strike.<br>Scott Boland will bowl the opening over for AUS.<br><br>0.1 Scott Boland to Rohit Sharma - 1 run(s), Played into the gap at mid-wicket with nice timing. Easy single, keeping the scoreboard moving along."", ""striker"": ""Shubman Gill"", ""non_striker"": ""Rohit Sharma"", ""bowler"": ""Scott Boland"", ""striker_runs"": 0, ""striker_balls"": 0, ""nonstriker_runs"": 1, ""nonstriker_balls"": 1, ""bowler_wickets"": 0, ""bowler_runs"": 1, ""bowler_overs"": ""0.1"", ""innings_number"": 1, ""target"": null, ""total_overs"": 360, ""match_format"": ""FC"", ""phase_name"": null, ""bowler_overs_remaining"": null, ""bowler_max_overs"": null, ""fc_day"": 1, ""partnership_runs"": 1, ""partnership_balls"": 1, ""win_probability"": null, ""rain_affected"": false, ""dls_par"": null, ""rain_interruption"": null, ""ball_data"": {""delivery"": {""total_runs"": 1, ""bat_runs"": 1, ""extras"": {}, ""bowler_runs"": 1, ""completed_runs"": 1, ""legal"": true, ""batter_faced"": true, ""wicket_type"": null, ""dismissed_end"": null}, ""runs"": 1, ""batter_out"": false, ""is_extra"": false, ""extra_type"": null, ""wicket_type"": null, ""description"": ""Played into the gap at mid-wicket with nice timing. Easy single, keeping the scoreboard moving along."", ""free_hit"": false, ""over"": 0, ""ball"": 0, ""striker"": ""Rohit Sharma"", ""non_striker"": ""Shubman Gill"", ""bowler"": ""Scott Boland"", ""innings"": 1, ""score"": 1, ""wickets"": 0, ""target"": null, ""partnership_runs"": 1, ""partnership_balls"": 1}}",1605,0,"{""process_cpu_percent"": 0.0, ""system_cpu_percent"": 50.0, ""process_cpu_times"": {""user"": 6.87, ""system"": 1.58, ""children_user"": 0.0, ""children_system"": 0.0, ""iowait"": 0.0}, ""process_memory"": {""rss"": 130420736, ""vms"": 310550528, ""shared"": 27283456, ""text"": 2707456, ""lib"": 0, ""data"": 154841088, ""dirty"": 0}, ""process_rss_bytes"": 130420736, ""system_memory"": {""total"": 998465536, ""available"": 423358464, ""percent"": 57.6, ""used"": 575107072, ""free"": 88555520, ""active"": 228941824, ""inactive"": 510550016, ""buffers"": 7983104, ""cached"": 482127872, ""shared"": 1540096, ""slab"": 103583744}, ""swap"": {""total"": 1073737728, ""used"": 663461888, ""free"": 410275840, ""percent"": 61.8, ""sin"": 23367176192, ""sout"": 40385671168}, ""load_average"": [0.0, 0.07, 0.2], ""threads"": 2}"
5,2026-09-12T14:38:25.899306+00:00,75e8ef06-2e8a-49e8-96bc-e7fea608915f,adc1cd3c-43a6-4272-9e7e-c5f43bb57ebb,server,ws_emit_start,1995301,18653602.8155446,"{""match_over"": false, ""score"": 1, ""wickets"": 0, ""over"": 0, ""ball"": 1, ""commentary"": ""<br><strong>1st INNINGS \u2014 IND</strong><br><br>Shubman Gill and Rohit Sharma will open the attack for IND. Rohit Sharma is on strike.<br>Scott Boland will bowl the opening over for AUS.<br><br>0.1 Scott Boland to Rohit Sharma - 1 run(s), Played into the gap at mid-wicket with nice timing. Easy single, keeping the scoreboard moving along."", ""striker"": ""Shubman Gill"", ""non_striker"": ""Rohit Sharma"", ""bowler"": ""Scott Boland"", ""striker_runs"": 0, ""striker_balls"": 0, ""nonstriker_runs"": 1, ""nonstriker_balls"": 1, ""bowler_wickets"": 0, ""bowler_runs"": 1, ""bowler_overs"": ""0.1"", ""innings_number"": 1, ""target"": null, ""total_overs"": 360, ""match_format"": ""FC"", ""phase_name"": null, ""bowler_overs_remaining"": null, ""bowler_max_overs"": null, ""fc_day"": 1, ""partnership_runs"": 1, ""partnership_balls"": 1, ""win_probability"": null, ""rain_affected"": false, ""dls_par"": null, ""rain_interruption"": null, ""ball_data"": {""delivery"": {""total_runs"": 1, ""bat_runs"": 1, ""extras"": {}, ""bowler_runs"": 1, ""completed_runs"": 1, ""legal"": true, ""batter_faced"": true, ""wicket_type"": null, ""dismissed_end"": null}, ""runs"": 1, ""batter_out"": false, ""is_extra"": false, ""extra_type"": null, ""wicket_type"": null, ""description"": ""Played into the gap at mid-wicket with nice timing. Easy single, keeping the scoreboard moving along."", ""free_hit"": false, ""over"": 0, ""ball"": 0, ""striker"": ""Rohit Sharma"", ""non_striker"": ""Shubman Gill"", ""bowler"": ""Scott Boland"", ""innings"": 1, ""score"": 1, ""wickets"": 0, ""target"": null, ""partnership_runs"": 1, ""partnership_balls"": 1}, ""fc_weather_status"": {""day"": 1, ""session"": 1, ""clock_minute"": 0.72, ""clock_label"": ""11:01"", ""revised_close_minute"": 420.0, ""revised_close_label"": ""18:00"", ""gross_delay_minutes"": 0, ""makeup_minutes"": 0, ""net_lost_minutes"": 0, ""overs_lost"": 0, ""forecast"": {""state"": ""dry"", ""label"": ""Dry"", ""rain_chance"": 0, ""late_light_risk"": false}, ""affected"": false, ""minimum_overs_today"": 90, ""overs_bowled_today"": 0, ""innings_changes_today"": 0, ""in_overtime"": false}, ""_trace_id"": ""adc1cd3c-43a6-4272-9e7e-c5f43bb57ebb""}",2112,0,"{""process_cpu_percent"": 0.0, ""system_cpu_percent"": 25.0, ""process_cpu_times"": {""user"": 6.88, ""system"": 1.58, ""children_user"": 0.0, ""children_system"": 0.0, ""iowait"": 0.0}, ""process_memory"": {""rss"": 130420736, ""vms"": 310550528, ""shared"": 27283456, ""text"": 2707456, ""lib"": 0, ""data"": 154841088, ""dirty"": 0}, ""process_rss_bytes"": 130420736, ""system_memory"": {""total"": 998465536, ""available"": 424263680, ""percent"": 57.5, ""used"": 574201856, ""free"": 88555520, ""active"": 229847040, ""inactive"": 510550016, ""buffers"": 7999488, ""cached"": 483016704, ""shared"": 1540096, ""slab"": 103583744}, ""swap"": {""total"": 1073737728, ""used"": 663461888, ""free"": 410275840, ""percent"": 61.8, ""sin"": 23367176192, ""sout"": 40385671168}, ""load_average"": [0.0, 0.07, 0.2], ""threads"": 2}"
6,2026-09-12T14:38:25.906284+00:00,75e8ef06-2e8a-49e8-96bc-e7fea608915f,adc1cd3c-43a6-4272-9e7e-c5f43bb57ebb,server,ws_emit_returned,1995301,18653602.8225221,null,4,0,"{""process_cpu_percent"": 0.0, ""system_cpu_percent"": 100.0, ""process_cpu_times"": {""user"": 6.88, ""system"": 1.58, ""children_user"": 0.0, ""children_system"": 0.0, ""iowait"": 0.0}, ""process_memory"": {""rss"": 130420736, ""vms"": 310550528, ""shared"": 27283456, ""text"": 2707456, ""lib"": 0, ""data"": 154841088, ""dirty"": 0}, ""process_rss_bytes"": 130420736, ""system_memory"": {""total"": 998465536, ""available"": 424312832, ""percent"": 57.5, ""used"": 574152704, ""free"": 88555520, ""active"": 229863424, ""inactive"": 510652416, ""buffers"": 8007680, ""cached"": 483078144, ""shared"": 1540096, ""slab"": 103583744}, ""swap"": {""total"": 1073737728, ""used"": 663461888, ""free"": 410275840, ""percent"": 61.8, ""sin"": 23367176192, ""sout"": 40385671168}, ""load_average"": [0.0, 0.07, 0.2], ""threads"": 2}"
7,2026-09-12T14:38:25.982510+00:00,75e8ef06-2e8a-49e8-96bc-e7fea608915f,adc1cd3c-43a6-4272-9e7e-c5f43bb57ebb,browser,request_sent,1995301,18653602.8987391,"{""client_time"": ""2026-09-12T14:38:25.662Z"", ""monotonic_ms"": 3316.2999999970198, ""visibility"": ""visible"", ""online"": true, ""transport"": ""websocket""}",146,0,"{""process_cpu_percent"": 0.0, ""system_cpu_percent"": 57.9, ""process_cpu_times"": {""user"": 6.92, ""system"": 1.59, ""children_user"": 0.0, ""children_system"": 0.0, ""iowait"": 0.0}, ""process_memory"": {""rss"": 130420736, ""vms"": 310550528, ""shared"": 27283456, ""text"": 2707456, ""lib"": 0, ""data"": 154841088, ""dirty"": 0}, ""process_rss_bytes"": 130420736, ""system_memory"": {""total"": 998465536, ""available"": 424407040, ""percent"": 57.5, ""used"": 574058496, ""free"": 88555520, ""active"": 229957632, ""inactive"": 510660608, ""buffers"": 8048640, ""cached"": 483106816, ""shared"": 1540096, ""slab"": 103583744}, ""swap"": {""total"": 1073737728, ""used"": 663461888, ""free"": 410275840, ""percent"": 61.8, ""sin"": 23367176192, ""sout"": 40385671168}, ""load_average"": [0.0, 0.07, 0.2], ""threads"": 2}"
8,2026-09-12T14:38:26.055695+00:00,75e8ef06-2e8a-49e8-96bc-e7fea608915f,adc1cd3c-43a6-4272-9e7e-c5f43bb57ebb,browser,response_received,1995301,18653602.9719326,"{""client_time"": ""2026-09-12T14:38:25.825Z"", ""monotonic_ms"": 3478.7000000029802, ""visibility"": ""visible"", ""online"": true, ""response"": {""match_over"": false, ""score"": 1, ""wickets"": 0, ""over"": 0, ""ball"": 1, ""commentary"": ""<br><strong>1st INNINGS \u2014 IND</strong><br><br>Shubman Gill and Rohit Sharma will open the attack for IND. Rohit Sharma is on strike.<br>Scott Boland will bowl the opening over for AUS.<br><br>0.1 Scott Boland to Rohit Sharma - 1 run(s), Played into the gap at mid-wicket with nice timing. Easy single, keeping the scoreboard moving along."", ""striker"": ""Shubman Gill"", ""non_striker"": ""Rohit Sharma"", ""bowler"": ""Scott Boland"", ""striker_runs"": 0, ""striker_balls"": 0, ""nonstriker_runs"": 1, ""nonstriker_balls"": 1, ""bowler_wickets"": 0, ""bowler_runs"": 1, ""bowler_overs"": ""0.1"", ""innings_number"": 1, ""target"": null, ""total_overs"": 360, ""match_format"": ""FC"", ""phase_name"": null, ""bowler_overs_remaining"": null, ""bowler_max_overs"": null, ""fc_day"": 1, ""partnership_runs"": 1, ""partnership_balls"": 1, ""win_probability"": null, ""rain_affected"": false, ""dls_par"": null, ""rain_interruption"": null, ""ball_data"": {""delivery"": {""total_runs"": 1, ""bat_runs"": 1, ""extras"": {}, ""bowler_runs"": 1, ""completed_runs"": 1, ""legal"": true, ""batter_faced"": true, ""wicket_type"": null, ""dismissed_end"": null}, ""runs"": 1, ""batter_out"": false, ""is_extra"": false, ""extra_type"": null, ""wicket_type"": null, ""description"": ""Played into the gap at mid-wicket with nice timing. Easy single, keeping the scoreboard moving along."", ""free_hit"": false, ""over"": 0, ""ball"": 0, ""striker"": ""Rohit Sharma"", ""non_striker"": ""Shubman Gill"", ""bowler"": ""Scott Boland"", ""innings"": 1, ""score"": 1, ""wickets"": 0, ""target"": null, ""partnership_runs"": 1, ""partnership_balls"": 1}, ""fc_weather_status"": {""day"": 1, ""session"": 1, ""clock_minute"": 0.72, ""clock_label"": ""11:01"", ""revised_close_minute"": 420, ""revised_close_label"": ""18:00"", ""gross_delay_minutes"": 0, ""makeup_minutes"": 0, ""net_lost_minutes"": 0, ""overs_lost"": 0, ""forecast"": {""state"": ""dry"", ""label"": ""Dry"", ""rain_chance"": 0, ""late_light_risk"": false}, ""affected"": false, ""minimum_overs_today"": 90, ""overs_bowled_today"": 0, ""innings_changes_today"": 0, ""in_overtime"": false}, ""_trace_id"": ""adc1cd3c-43a6-4272-9e7e-c5f43bb57ebb""}}",2244,0,"{""process_cpu_percent"": 0.0, ""system_cpu_percent"": 37.5, ""process_cpu_times"": {""user"": 6.95, ""system"": 1.6, ""children_user"": 0.0, ""children_system"": 0.0, ""iowait"": 0.0}, ""process_memory"": {""rss"": 130420736, ""vms"": 310550528, ""shared"": 27283456, ""text"": 2707456, ""lib"": 0, ""data"": 154841088, ""dirty"": 0}, ""process_rss_bytes"": 130420736, ""system_memory"": {""total"": 998465536, ""available"": 424435712, ""percent"": 57.5, ""used"": 574029824, ""free"": 88555520, ""active"": 230014976, ""inactive"": 510722048, ""buffers"": 8081408, ""cached"": 483098624, ""shared"": 1540096, ""slab"": 103583744}, ""swap"": {""total"": 1073737728, ""used"": 663461888, ""free"": 410275840, ""percent"": 61.8, ""sin"": 23367180288, ""sout"": 40385671168}, ""load_average"": [0.0, 0.07, 0.2], ""threads"": 2}"
9,2026-09-12T14:38:26.072782+00:00,75e8ef06-2e8a-49e8-96bc-e7fea608915f,326efa56-9969-4095-b567-ee7164b1ae96,server,ws_received,1995301,18653602.9890194,null,4,0,"{""process_cpu_percent"": 0.0, ""system_cpu_percent"": 50.0, ""process_cpu_times"": {""user"": 6.95, ""system"": 1.61, ""children_user"": 0.0, ""children_system"": 0.0, ""iowait"": 0.0}, ""process_memory"": {""rss"": 130420736, ""vms"": 310550528, ""shared"": 27283456, ""text"": 2707456, ""lib"": 0, ""data"": 154841088, ""dirty"": 0}, ""process_rss_bytes"": 130420736, ""system_memory"": {""total"": 998465536, ""available"": 424435712, ""percent"": 57.5, ""used"": 574029824, ""free"": 88555520, ""active"": 230014976, ""inactive"": 510791680, ""buffers"": 8089600, ""cached"": 483090432, ""shared"": 1540096, ""slab"": 103583744}, ""swap"": {""total"": 1073737728, ""used"": 663461888, ""free"": 410275840, ""percent"": 61.8, ""sin"": 23367188480, ""sout"": 40385671168}, ""load_average"": [0.0, 0.07, 0.2], ""threads"": 2}"
10,2026-09-12T14:38:26.079932+00:00,75e8ef06-2e8a-49e8-96bc-e7fea608915f,326efa56-9969-4095-b567-ee7164b1ae96,server,engine_start,1995301,18653602.9961698,"{""over"": 0, ""ball"": 1}",22,0,"{""process_cpu_percent"": 0.0, ""system_cpu_percent"": 33.3, ""process_cpu_times"": {""user"": 6.96, ""system"": 1.61, ""children_user"": 0.0, ""children_system"": 0.0, ""iowait"": 0.0}, ""process_memory"": {""rss"": 130420736, ""vms"": 310550528, ""shared"": 27283456, ""text"": 2707456, ""lib"": 0, ""data"": 154841088, ""dirty"": 0}, ""process_rss_bytes"": 130420736, ""system_memory"": {""total"": 998465536, ""available"": 424435712, ""percent"": 57.5, ""used"": 574029824, ""free"": 88555520, ""active"": 230014976, ""inactive"": 510791680, ""buffers"": 8097792, ""cached"": 483082240, ""shared"": 1540096, ""slab"": 103583744}, ""swap"": {""total"": 1073737728, ""used"": 663461888, ""free"": 410275840, ""percent"": 61.8, ""sin"": 23367188480, ""sout"": 40385671168}, ""load_average"": [0.0, 0.07, 0.2], ""threads"": 2}"
