pitch,seed,match_status,innings1_runs,innings1_wickets,innings1_declared,innings1_overs,innings2_runs,innings2_wickets,innings2_declared,innings2_overs,innings3_runs,innings3_wickets,innings3_declared,innings3_overs,innings4_runs,innings4_wickets,innings4_overs
Green,1,completed,256,9,Yes,95,502,7,Yes,166,222,10,No,89.4,0,0,0
Green,2,completed,80,10,No,33.5,300,10,No,107.4,207,10,No,70.2,0,0,0
Green,3,drawn,544,9,Yes,176,327,10,No,117.5,169,9,Yes,71,125,3,41
Green,4,completed,211,10,No,88.4,348,9,Yes,118,79,10,No,38.3,0,0,0
Green,5,completed,169,10,No,57.1,291,9,Yes,101,279,9,Yes,104,159,5,55.2
Green,6,completed,272,10,No,87.2,333,10,No,108.6,203,9,Yes,70,143,4,41.5
Green,7,completed,253,9,Yes,88,212,10,No,72.3,280,7,Yes,99,235,10,92.2
Green,8,completed,124,10,No,43.3,106,10,No,41.3,272,9,Yes,102,279,10,100.6
Green,9,drawn,369,9,Yes,138,309,10,No,113.1,190,10,No,81.3,103,5,44
Green,10,completed,124,10,No,44.4,162,10,No,47.6,120,9,Yes,49,83,3,31.3
Green,11,completed,289,9,Yes,100,259,10,No,86.2,268,10,No,92.6,239,10,82.6
Green,12,completed,223,10,No,78.1,353,9,Yes,110,320,9,Yes,94,154,10,55.5
Green,13,completed,287,9,Yes,100,218,10,No,80.1,233,9,Yes,64,200,10,69.4
Green,14,completed,266,9,Yes,88,211,10,No,70.2,188,9,Yes,68,244,8,86.4
Green,15,completed,137,10,No,47.3,248,9,Yes,92,195,9,Yes,71,85,2,28.3
Green,16,completed,125,10,No,47.6,275,9,Yes,94,224,9,Yes,84,76,3,26.2
Green,17,completed,201,10,No,75.4,231,10,No,70.4,151,9,Yes,56,122,2,37.5
Green,18,completed,204,10,No,70.1,475,9,Yes,157,226,10,No,69.3,0,0,0
Green,19,drawn,412,9,Yes,141,242,10,No,83.2,187,10,No,96.4,172,5,71
Green,20,completed,322,10,No,116.5,345,10,No,113.2,272,10,No,99.1,250,5,86.4
Green,21,completed,188,10,No,64.4,304,9,Yes,98,182,9,Yes,66,67,0,21.3
Green,22,completed,96,10,No,35.6,577,5,Yes,168,334,10,No,110.1,0,0,0
Green,23,completed,360,9,Yes,124,318,10,No,113.5,371,10,No,114.4,128,10,54.5
Green,24,drawn,94,10,No,26.6,231,9,Yes,84,418,10,No,134.6,116,1,42
Green,25,completed,198,10,No,69.3,311,9,Yes,104,345,3,Yes,117,105,10,36.5
Green,26,completed,251,10,No,81.3,260,10,No,80.4,341,10,No,111.6,316,10,115.6
Green,27,completed,315,9,Yes,114,436,10,No,149.3,259,10,No,92.5,140,4,49.5
Green,28,drawn,596,9,Yes,192,168,10,No,57.3,463,7,No,186,,,
Green,29,completed,239,10,No,78.3,214,10,No,72.1,97,9,Yes,41,123,2,33.4
Green,30,completed,182,10,No,73.4,121,10,No,43.2,250,10,No,84.6,312,6,99.5
Green,31,completed,114,10,No,43.2,273,9,Yes,92,191,10,No,71.6,36,2,9.4
Green,32,completed,77,10,No,37.1,237,9,Yes,72,288,10,No,91.2,129,6,53.1
Green,33,completed,116,10,No,43.1,90,10,No,40.1,170,9,Yes,65,197,4,57.4
Green,34,completed,202,10,No,77.6,451,9,Yes,151,174,10,No,82.2,0,0,0
Green,35,completed,130,10,No,50.2,187,10,No,66.6,204,9,Yes,64,149,1,47.1
Green,36,completed,292,9,Yes,102,359,10,No,125.6,174,10,No,64.6,108,4,43.2
Green,37,completed,223,10,No,77.3,245,10,No,81.1,227,9,Yes,77,207,1,60.1
Green,38,completed,92,10,No,26.6,278,10,No,104.5,260,9,Yes,87,75,0,23.5
Green,39,drawn,565,5,Yes,182,249,10,No,97.3,145,10,No,67.3,64,4,28
Green,40,completed,191,10,No,71.1,176,10,No,67.4,319,9,Yes,100,335,8,124
Green,41,completed,285,9,Yes,100,197,10,No,69.1,125,9,Yes,49,113,10,38.5
Green,42,completed,109,10,No,46.2,242,9,Yes,78,157,10,No,68.6,26,0,6.2
Green,43,completed,373,9,Yes,132,278,10,No,88.1,187,10,No,96.5,196,10,77.1
Green,44,completed,193,10,No,77.4,79,10,No,28.2,308,9,Yes,104,233,10,83.2
Green,45,completed,168,10,No,61.6,241,10,No,80.2,283,9,Yes,95,214,2,71.3
Green,46,completed,379,10,No,119.2,270,10,No,94.3,141,9,Yes,50,200,10,73.1
Green,47,completed,169,10,No,58.2,168,10,No,52.3,316,9,Yes,106,287,10,87.4
Green,48,completed,137,10,No,48.5,545,10,No,175.4,273,10,No,85.5,0,0,0
Green,49,completed,225,10,No,87.1,291,9,Yes,91,221,9,Yes,70,157,7,59.4
